size,popzero_time,popend_time
1000000,1.4907458999950904,5.6200005928985775e-05
2000000,2.874804299994139,5.3800002206116915e-05
3000000,4.295291300004465,5.709999823011458e-05
4000000,5.710402800003067,6.239999493118376e-05
5000000,7.187682899995707,4.9299997044727206e-05
6000000,8.41983590000018,4.8999994760379195e-05
7000000,9.82090029999381,5.190000229049474e-05
8000000,12.460591499999282,4.809998790733516e-05
9000000,18.8637075000006,0.00014570000348612666
10000000,16.665016800005105,7.619999814778566e-05
11000000,17.84159809999983,8.81999876582995e-05
12000000,20.467869700005394,5.710001278202981e-05
13000000,20.526244299995597,5.7600002037361264e-05
14000000,25.900255200001993,6.299999949987978e-05
15000000,25.50882430000638,5.469999450724572e-05
16000000,26.52436250000028,8.060000254772604e-05
17000000,28.065649099997245,5.299999611452222e-05
18000000,27.86763890000293,7.03999976394698e-05
19000000,26.94766370000434,5.800000508315861e-05
20000000,28.415319499996258,5.4799995268695056e-05
21000000,31.36110799999733,5.389998841565102e-05
22000000,35.76015839999309,6.849999772384763e-05
23000000,38.05409899998631,5.110001075081527e-05
24000000,38.59098670000094,5.129999772179872e-05
25000000,39.717605800004094,6.009999196976423e-05
26000000,35.712222300004214,5.780000356025994e-05
27000000,37.106455700006336,5.709999823011458e-05
28000000,38.36970009999641,6.150000263005495e-05
29000000,42.30253470000753,5.6800010497681797e-05
30000000,42.075299199990695,4.940001235809177e-05
31000000,39.50945719999436,4.939999780617654e-05
32000000,40.97920889999659,0.00013259999104775488
33000000,42.01515199999267,6.040000880602747e-05
34000000,43.72506009999779,6.089999806135893e-05
35000000,45.32598799999687,5.6899996707215905e-05
36000000,45.83545729999605,5.8599995099939406e-05
37000000,47.103464299987536,5.8600009651854634e-05
38000000,48.431271100009326,0.00021980000019539148
39000000,49.828025299997535,5.77000027988106e-05
40000000,53.85373519999848,5.020000389777124e-05
41000000,53.35329030000139,0.00013619998935610056
42000000,54.609614800006966,4.92000108351931e-05
43000000,54.59768570000597,8.22000001790002e-05
44000000,56.063121400002274,5.599998985417187e-05
45000000,57.33798339999339,6.010000652167946e-05
46000000,58.963857599999756,5.089999467600137e-05
47000000,61.19100099999923,4.8999994760379195e-05
48000000,62.410086899995804,5.0699993153102696e-05
49000000,64.08764810000139,5.160000000614673e-05
50000000,65.10326319999876,6.800000846851617e-05
51000000,66.40502859999833,7.020001066848636e-05
52000000,68.52925239999604,5.18000015290454e-05
53000000,69.02454840000428,4.9299997044727206e-05
54000000,62.215941200003726,5.080000846646726e-05
55000000,61.41559140000027,4.980000085197389e-05
56000000,62.79904080000415,4.959999932907522e-05
57000000,63.87856179999653,5.060000694356859e-05
58000000,64.83838589998777,4.939999780617654e-05
59000000,65.9888309000089,4.9600013880990446e-05
60000000,67.16676690000168,0.00026840000646188855
61000000,68.38339220000489,5.7600002037361264e-05
62000000,69.36576030000288,5.129999772179872e-05
63000000,70.19994900000165,5.740000051446259e-05
64000000,71.61971869999252,7.599999662488699e-05
65000000,72.65388749999693,5.0699993153102696e-05
66000000,74.20786059999955,5.0300004659220576e-05
67000000,88.61163299999316,6.370000483002514e-05
68000000,89.62819329999911,0.00011320000339765102
69000000,90.43440190001274,4.8999994760379195e-05
70000000,91.86605050000071,6.479999865405262e-05
71000000,93.18136159999995,4.980000085197389e-05
72000000,94.98767810000572,5.280000914353877e-05
73000000,91.84498870000243,5.0099988584406674e-05
74000000,98.34317910000391,5.3800002206116915e-05
75000000,100.19911919999868,7.000000914558768e-05
76000000,100.24325089999184,7.879998884163797e-05
77000000,102.85080370001378,5.4100004490464926e-05
78000000,103.05858630000148,9.010000212583691e-05
79000000,103.72715710000193,5.8599995099939406e-05
80000000,105.21673210000154,5.77000027988106e-05
81000000,105.69796849999693,6.379999103955925e-05
82000000,106.25396659999387,7.520000508520752e-05
83000000,107.7594367999991,6.280001252889633e-05
84000000,95.32664299999306,9.31999966269359e-05
85000000,95.43674409999221,5.18000015290454e-05
86000000,96.71831750001002,5.880001117475331e-05
87000000,97.81153859999904,5.9300000430084765e-05
88000000,99.52159670001129,4.909999552182853e-05
89000000,103.2338970000128,5.490001058205962e-05
90000000,117.81702420000511,5.830000736750662e-05
91000000,127.07056199999352,6.120000034570694e-05
92000000,129.26896380000107,6.710000161547214e-05
93000000,141.8082124999928,5.3099996875971556e-05
94000000,133.2502206000063,0.0006896999984746799
95000000,129.97820830000273,0.00012959999730810523
96000000,129.7913808000012,5.919999966863543e-05
97000000,121.12108359999547,5.420000525191426e-05
98000000,111.81575460000022,8.030000026337802e-05
99000000,112.95719190000091,9.650000720284879e-05
100000000,114.45735539999441,5.420000525191426e-05
