size,dtime_rec,ltime_rec
10000,0.0010678000107873231,0.13056130000040866
30000,0.001070600003004074,0.34668990000500344
50000,0.000985699996817857,0.4645472999982303
70000,0.0008348000119440258,0.5786631999944802
90000,0.0007980999944265932,0.7797854999953415
110000,0.0008791000000201166,1.107035500011989
130000,0.0010413999989395961,1.8613363000040408
150000,0.0009865000029094517,1.5707151999959024
170000,0.0012710000009974465,1.7317317999986699
190000,0.0008945999870775267,1.9501378999993904
210000,0.001176400008262135,2.1352034000010462
230000,0.0014565000019501895,2.4052779999910854
250000,0.0014197999989846721,2.4640922999969916
270000,0.0009155000007012859,3.356942099999287
290000,0.0010334999969927594,2.954716299995198
310000,0.0010749000066425651,3.1966017999948235
330000,0.0009938000002875924,3.12857869999425
350000,0.002297099999850616,3.6647030000021914
370000,0.0008632999961264431,3.78701899999578
390000,0.0014660000015283003,4.587340199999744
410000,0.0008735000010346994,3.7283715999947162
430000,0.002549400000134483,5.086608400000841
450000,0.002231300008133985,5.7671922000008635
470000,0.0024246999964816496,7.081792700002552
490000,0.0009476999985054135,5.31018590000167
510000,0.0016048999968916178,5.516763499996159
530000,0.0031930999975884333,5.283596500012209
550000,0.0015847000031499192,6.694102199995541
570000,0.0068109999992884696,9.585605000000214
590000,0.003195400000549853,9.511064199992688
610000,0.0023440000077243894,7.522570600005565
630000,0.001493299991125241,7.741695100005018
650000,0.0015008999907877296,9.625580499996431
670000,0.00223500000720378,9.929847100007464
690000,0.0010732999944593757,8.472378100006608
710000,0.001699700005701743,8.433096099994145
730000,0.002101199992466718,10.969094200001564
750000,0.0009545999928377569,10.129655800003093
770000,0.0009537000005366281,8.347326100003556
790000,0.0009191999997710809,9.41693469999882
810000,0.001883999997517094,9.422876099997666
830000,0.0010131000017281622,11.469797500001732
850000,0.0010735000105341896,9.33591590001015
870000,0.003288699997938238,8.276195099999313
890000,0.0010671999916667119,8.334534699999494
910000,0.002638099991600029,7.700123099988559
930000,0.0008637999999336898,7.684673900002963
950000,0.0009215000027325004,8.007526399989729
970000,0.001880600000731647,8.397970999998506
990000,0.0009246999979950488,9.29791269999987
